date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:00	80364/80364	---M--	200	added ('OK')	application/font-woff2	etag:%2219d3fefc1e6df9fd6c283a67f76bfe44baa6a245%22	https://use.typekit.net/af/63cd12/0000000000000000000124ff/27/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n7&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/63cd12/0000000000000000000124ff/27/l04c7	(from https://use.typekit.net/njp4uhl.css)
23:51:01	96684/96684	---M--	200	added ('OK')	application/font-woff	etag:%2219d3fefc1e6df9fd6c283a67f76bfe44baa6a245%22	https://use.typekit.net/af/63cd12/0000000000000000000124ff/27/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n7&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/63cd12/0000000000000000000124ff/27/d04c7	(from https://use.typekit.net/njp4uhl.css)
23:51:01	189656/189656	---M-Z	200	added ('OK')	font/opentype	etag:W/%2219d3fefc1e6df9fd6c283a67f76bfe44baa6a245%22	https://use.typekit.net/af/63cd12/0000000000000000000124ff/27/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n7&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/63cd12/0000000000000000000124ff/27/a04c7	(from https://use.typekit.net/njp4uhl.css)
23:51:01	79296/79296	---M--	200	added ('OK')	application/font-woff2	etag:%22c08b25f27311210027c7802a8ae9c200beda5072%22	https://use.typekit.net/af/e614cb/0000000000000000000124fd/27/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i7&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/e614cb/0000000000000000000124fd/27/l3fe8	(from https://use.typekit.net/njp4uhl.css)
23:51:01	96132/96132	---M--	200	added ('OK')	application/font-woff	etag:%22c08b25f27311210027c7802a8ae9c200beda5072%22	https://use.typekit.net/af/e614cb/0000000000000000000124fd/27/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i7&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/e614cb/0000000000000000000124fd/27/d3fe8	(from https://use.typekit.net/njp4uhl.css)
23:51:02	188444/188444	---M-Z	200	added ('OK')	font/opentype	etag:W/%22c08b25f27311210027c7802a8ae9c200beda5072%22	https://use.typekit.net/af/e614cb/0000000000000000000124fd/27/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i7&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/e614cb/0000000000000000000124fd/27/a3fe8	(from https://use.typekit.net/njp4uhl.css)
23:51:02	37776/37776	---M--	200	added ('OK')	application/font-woff2	etag:%22eb46e262f6772d9f1b5d56590c331c8ef7a6e477%22	https://use.typekit.net/af/1da05b/0000000000000000000132df/27/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n4&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/1da05b/0000000000000000000132df/27/l64f0	(from https://use.typekit.net/njp4uhl.css)
23:51:02	44776/44776	---M--	200	added ('OK')	application/font-woff	etag:%22eb46e262f6772d9f1b5d56590c331c8ef7a6e477%22	https://use.typekit.net/af/1da05b/0000000000000000000132df/27/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n4&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/1da05b/0000000000000000000132df/27/d64f0	(from https://use.typekit.net/njp4uhl.css)
23:51:02	105932/105932	---M-Z	200	added ('OK')	font/opentype	etag:W/%22eb46e262f6772d9f1b5d56590c331c8ef7a6e477%22	https://use.typekit.net/af/1da05b/0000000000000000000132df/27/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n4&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/1da05b/0000000000000000000132df/27/a64f0	(from https://use.typekit.net/njp4uhl.css)
23:51:03	37224/37224	---M--	200	added ('OK')	application/font-woff2	etag:%221e7d6ed04038120562bfa7d1beb14e5b4c636e8a%22	https://use.typekit.net/af/32d3ee/0000000000000000000132e0/27/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i4&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/32d3ee/0000000000000000000132e0/27/l34b8	(from https://use.typekit.net/njp4uhl.css)
23:51:03	44196/44196	---M--	200	added ('OK')	application/font-woff	etag:%221e7d6ed04038120562bfa7d1beb14e5b4c636e8a%22	https://use.typekit.net/af/32d3ee/0000000000000000000132e0/27/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i4&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/32d3ee/0000000000000000000132e0/27/d34b8	(from https://use.typekit.net/njp4uhl.css)
23:51:03	100652/100652	---M-Z	200	added ('OK')	font/opentype	etag:W/%221e7d6ed04038120562bfa7d1beb14e5b4c636e8a%22	https://use.typekit.net/af/32d3ee/0000000000000000000132e0/27/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i4&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/32d3ee/0000000000000000000132e0/27/a34b8	(from https://use.typekit.net/njp4uhl.css)
23:51:03	39212/39212	---M--	200	added ('OK')	application/font-woff2	etag:%225075b170c73337c2cfb9862cef95a0554fea36dc%22	https://use.typekit.net/af/8f4e31/0000000000000000000132e3/27/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n7&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/8f4e31/0000000000000000000132e3/27/l04c7	(from https://use.typekit.net/njp4uhl.css)
